citation,source_url,title,dd_ordinal_nodes
01/1997/QH10,https://vbpl.vn/van-ban/chi-tiet/van-ban--8222,Luật Ngân hàng Nhà nước số 01/1997/QH10,4
01/2007/UBTVQH12,https://vbpl.vn/van-ban/chi-tiet/van-ban--13130,"Pháp lệnh số 01/2007/UBTVQH12 Sửa đổi, bổ sung một số điều của Pháp lệnh thi hành án phạt tù",1
01/2011/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--27323,Luật Lưu trữ số 01/2011/QH13,7
01/2016/QH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--121748,Luật Đấu giá tài sản số 01/2016/QH14,29
01/2022/UBTVQH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--155969,"Pháp lệnh số 01/2022/UBTVQH15 Trình tự, thủ tục Tòa án nhân dân xem xét, quyết định việc đưa người nghiện ma túy từ đủ 12 tuổi đến dưới 18 tuổi vào cơ sở cai nghiện bắt buộc",11
01/2025/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--179838,Nghị quyết số 01/2025/NQ-CP Về đầu tư mở rộng Cảng hàng không quốc tế Phú Quốc,3
01/2026/UBTVQH16,https://vbpl.vn/van-ban/chi-tiet/van-ban--4978cbd0-6aee-11f1-980c-d3fdbd60ea75,"Pháp lệnh số 01/2026/UBTVQH16 SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA PHÁP LỆNH HỢP NHẤT VĂN BẢN QUY PHẠM PHÁP LUẬT",3
02/1997/QH10,https://vbpl.vn/van-ban/chi-tiet/van-ban--8205,Luật Các tổ chức tín dụng số 02/1997/QH10,14
02/2002/PL-UBTVQH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--22072,Pháp lệnh số 02/2002/PL-UBTVQH11 Thẩm phán và Hội thẩm Toà án nhân dân,1
02/2002/QH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--21594,"Luật Sửa đổi, bổ sung một số điều của Luật Ban hành văn bản quy phạm pháp luật số 02/2002/QH11",3
02/2007/QH12,https://vbpl.vn/van-ban/chi-tiet/van-ban--12902,"Luật Phòng, chống bạo lực gia đình số 02/2007/QH12",3
02/2011/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--27325,Luật Khiếu nại số 02/2011/QH13,12
02/2012/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--27141,Nghị định số 02/2012/NĐ-CP Quy định chi tiết và hướng dẫn thi hành Pháp lệnh Thủ tục bắt giữ tàu bay; Thủ tục xử lý tàu bay bị bỏ,1
02/2012/UBTVQH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--27571,"Pháp lệnh số 02/2012/UBTVQH13 Chi phí giám định, định giá; chi phí cho người làm chứng, người phiên dịch trong tố tụng",2
02/2016/QH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--117201,"Luật Tín ngưỡng, tôn giáo số 02/2016/QH14",6
02/2020/UBTVQH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--146606,Pháp lệnh số 02/2020/UBTVQH14 Ưu đãi người có công với cách mạng,10
02/2021/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--151153,"Nghị định số 02/2021/NĐ-CP Quy định về cờ truyền thống, cờ hiệu, biểu tượng, hải quan hiệu, phù hiệu, biển tên, cấp hiệu, trang phục, chứng minh hải quan và dấu hiệu đặc trưng phương tiện tuần tra, kiểm soát, giám sát hải quan",4
02/2022/UBTVQH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--155813,Pháp lệnh số 02/2022/UBTVQH15 Xử phạt vi phạm hành chính đối với hành vi cản trở hoạt động tố tụng,5
02/2024/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--166090,Nghị định số 02/2024/NĐ-CP Về việc chuyển giao công trình điện là tài sản công sang Tập đoàn Điện lực Việt Nam,13
02/2025/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--8619b9a0-5e55-11f1-8e5a-2929924511d6,"Nghị định 02/2025/NĐ-CP Sửa đổi, bổ sung một số điều của nghị định số 146/2018/NĐ-CP ngày 17 tháng 10 năm 2018 của chính phủ quy định chi tiết và hướng dẫn biện pháp thi hành luật bảo hiểm y tể, đã được sửa đổi, bổ sung một số điều tại nghị định số 75/2023/NĐ-CP ngày 19 tháng 10 năm 2023 của chính phủ",2
02/2026/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--ea586e90-5a7a-11f1-9bd0-4d2947da22ed,Nghị định 02/2026/NĐ-CP Quy định xử phạt vi phạm hành chính trong lĩnh vực phí và lệ phí,12
02/2026/QH16,https://vbpl.vn/van-ban/chi-tiet/van-ban--251c4420-5265-11f1-848d-2bb321e41052,Luật Thủ đô số 02/2026/QH16,23
02/CP (vbpl-9385),https://vbpl.vn/van-ban/chi-tiet/van-ban--9385,Nghị định số 02/CP Phê chuẩn Điều lệ tổ chức và hoạt động của Tổng công ty Hoá chất Việt Nam,5
03/2000/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--6378,Nghị định số 03/2000/NĐ-CP Hướng dẫn thi hành một số điều của Luật Doanh nghiệp,16
03/2002/PL-UBTVQH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--21957,Pháp lệnh số 03/2002/PL-UBTVQH11 Kiểm sát viên Viện kiểm sát nhân dân,1
03/2003/QH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--20996,Luật Kế toán số 03/2003/QH11,6
03/2007/QH12,https://vbpl.vn/van-ban/chi-tiet/van-ban--12900,"Luật Phòng, chống bệnh truyền nhiễm số 03/2007/QH12",3
03/2011/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--34216,Nghị định số 03/2011/NĐ-CP Quy định chi tiết và biện pháp thi hành Luật Hoạt động chữ thập đỏ,1
03/2011/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--27305,Luật Tố cáo số 03/2011/QH13,6
03/2016/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--95764,Nghị định số 03/2016/NĐ-CP Quy định chi tiết và biện pháp thi hành một số điều của Luật Dân quân tự vệ,3
03/2022/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--153733,"Nghị định số 03/2022/NĐ-CP Quy định xử phạt vi phạm hành chính trong lĩnh vực phòng, chống thiên tai; thủy lợi; đê điều",32
03/2022/UBTVQH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--165156,"Pháp lệnh số 03/2022/UBTVQH15 Trình tự, thủ tục xem xét, quyết định áp dụng các biện pháp xử lý hành chính tại Tòa án nhân dân",11
03/2023/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--160077,"Nghị định số 03/2023/NĐ-CP quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ủy ban Cạnh tranh Quốc gia",1
03/2026/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--186296,"Nghị định số 03/2026/NĐ-CP Về tổ chức, hoạt động của quỹ xã hội, quỹ từ thiện",13
03/2026/QH16,https://vbpl.vn/van-ban/chi-tiet/van-ban--ec5cde10-54bc-11f1-abb8-a5ee305e759c,Luật Hộ tịch số 03/2026/QH16,6
04/2008/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--12774,"Nghị định số 04/2008/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 92/2006/NĐ-CP ngày 07 tháng 9 năm 2006 của Chính phủ về lập, phê duyệt và quản lý quy hoạch tổng thể phát triển kinh tế - xã hội",3
04/2008/PL-UBTVQH12,https://vbpl.vn/van-ban/chi-tiet/van-ban--12674,"Pháp lệnh số 04/2008/PL-UBTVQH12 Sửa đổi, bổ sung một số điều của Pháp lệnh Xử lý vi phạm hành chính",13
04/2011/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--27308,Luật Đo lường số 04/2011/QH13,16
04/2012/UBTVQH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--27708,"Pháp lệnh số 04/2012/UBTVQH13 Sửa đổi, bổ sung một số điều của Pháp lệnh ưu đãi người có công với cách mạng",8
04/2017/QH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--128706,Luật hỗ trợ doanh nghiệp nhỏ và vừa số 04/2017/QH14,4
04/2018/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--128812,"Nghị định số 04/2018/NĐ-CP Quy định về cơ chế, chính sách ưu đãi đối với khu công nghệ cao Đà Nẵng",3
04/2020/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--140549,"Nghị định số 04/2020/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 31/2016/NĐ-CP ngày 06 tháng 5 năm 2016 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực giống cây trồng, bảo vệ và kiểm dịch thực vật; Nghị định số 90/2017/NĐ-CP ngày 31 tháng 7 năm 2017 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực thú y",6
04/2022/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--156829,Luật Cảnh sát cơ động số 04/2022/QH15,1
04/2023/UBTVQH,https://vbpl.vn/van-ban/chi-tiet/van-ban--181123,Pháp lệnh số 04/2023/UBTVQH Xử phạt vi phạm hành chính trong lĩnh vực kiểm toán nhà nước,1
04/2024/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--166386,"Nghị định số 04/2024/NĐ-CP sửa đổi, bổ sung một số điều của Nghị định số 118/2014/NĐ-CP ngày 17 tháng 12 năm 2014 của Chính phủ về sắp xếp, đổi mới và phát triển, nâng cao hiệu quả hoạt động của công ty nông, lâm nghiệp",2
04/2026/QH16,https://vbpl.vn/van-ban/chi-tiet/van-ban--5ae3af70-54b9-11f1-b102-07539b2807f6,"Luật sửa đổi, bổ sung một số điều của Luật Công chứng số 04/2026/QH16",1
05/1998/QH10,https://vbpl.vn/van-ban/chi-tiet/van-ban--7755,Luật Thuế tiêu thụ đặc biệt số 05/1998/QH10,2
05/2002/PL-UBTVQH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--21926,Pháp lệnh số 05/2002/PL-UBTVQH11 Tổ chức Viện kiểm sát quân sự,1
05/2003/QH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--21002,Luật Hoạt động giám sát của Quốc hội số 05/2003/QH11,7
05/2004/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--18774,"Nghị định số 05/2004/NĐ-CP Về việc thành lập các quận Ninh Kiều, Bình Thuỷ, Cái Răng, Ô Môn, các huyện Phong Điền, Cờ Đỏ, Vĩnh Thạnh, Thốt Nốt và các xã, phường, thị trấn thuộc thành phố Cần Thơ trực thuộc Trung ương",2
05/2007/QH12,https://vbpl.vn/van-ban/chi-tiet/van-ban--12896,"Luật Chất lượng sản phẩm, hàng hoá số 05/2007/QH12",8
05/2008/PL-UBTVQH12,https://vbpl.vn/van-ban/chi-tiet/van-ban--12619,Pháp lệnh số 05/2008/PL-UBTVQH12 Thủ tục bắt giữ tàu biển,16
05/2008/UBTVQH12,https://vbpl.vn/van-ban/chi-tiet/van-ban--153609,Pháp lệnh số 05/2008/UBTVQH12 Thủ tục bắt giữ tàu biển,16
05/2017/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--118556,"Nghị định số 05/2017/NĐ-CP Quy định về xử lý tài sản chìm đắm trên tuyến đường thủy nội địa, vùng nước cảng biển và vùng biển Việt Nam",5
05/2019/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--133858,Nghị định số 05/2019/NĐ-CP Về kiểm toán nội bộ,10
05/2021/UBTVQH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--150074,"Nghị quyết số 05/2021/UBTVQH15 Về chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Viện Nghiên cứu lập pháp.",2
05/2022/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--158993,Luật Điện ảnh số 05/2022/QH15,9
05/2024/UBTVQH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--182596,PHÁP LỆNH SỐ 05/2024/UBTVQH15 CHI PHÍ TỐ TỤNG,3
05/2025/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--a4e4c2d0-504f-11f1-8f9a-f539e59cc55b,Nghị quyết 05/2025/NQ-CP Về việc triển khai thí điểm thị trường tài sản mã hóa tại Việt Nam,2
05/2026/QH16,https://vbpl.vn/van-ban/chi-tiet/van-ban--9f320090-54c9-11f1-aa08-59e3f5ee2be8,"Luật Sửa đổi, bổ sung một số điều của Luật trợ giúp pháp lý số 05/2026/QH16",1
05/2026/TT-BGDĐT,https://vbpl.vn/van-ban/chi-tiet/thong-tu-so-05-2026-tt-bgddt-quy-dinh-che-do-lam-viec-doi-voi-nha-giao-giao-duc-nghe-nghiep--31de7cc0-898b-11f1-8268-a9294e958254,Thông tư số 05/2026/TT-BGDĐT Quy định chế độ làm việc đối với nhà giáo giáo dục nghề nghiệp,3
06/1998/QH10,https://vbpl.vn/van-ban/chi-tiet/van-ban--7753,"Luật Sửa đổi, bổ sung một số điều của Luật Ngân sách Nhà nước số 06/1998/QH10",7
06/2002/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--22857,Nghị định số 06/2002/NĐ-CP Quy định chi tiết thi hành Pháp lệnh Đo lường.,1
06/2006/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--16879,"Nghị định số 06/2006/NĐ-CP Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Cục Quản lý cạnh tranh",2
06/2007/QH12,https://vbpl.vn/van-ban/chi-tiet/van-ban--24161,Luật Hóa chất số 06/2007/QH12,10
06/2012/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--27704,Luật Bảo hiểm tiền gửi số 06/2012/QH13,1
06/2013/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--32523,"Nghị định số 06/2013/NĐ-CP Quy định về bảo vệ cơ quan, doanh nghiệp",1
06/2013/UBTVQH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--32970,"Pháp lệnh số 06/2013/UBTVQH13 Sửa đổi, bổ sung một số điều của Pháp lệnh Ngoại hối",2
06/2017/QH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--126171,Luật Đường sắt số 06/2017/QH14,11
06/2022/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--168080,"Luật Thi đua, Khen thưởng số 06/2022/QH15",18
06/2025/UBTVQH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--177092,"Pháp lệnh số 06/2025/UBTVQH15 Quản lý, bảo vệ Lăng Chủ tịch Hồ Chí Minh",5
06/2026/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--187314,NGHỊ ĐỊNH SỐ 06/2026/NĐ-CP QUY ĐỊNH VỀ TỔ CHỨC VÀ HOẠT ĐỘNG CỦA NGÂN HÀNG CHÍNH SÁCH XÃ HỘI,4
07/1998/PL-UBTVQH10,https://vbpl.vn/van-ban/chi-tiet/van-ban--7559,Pháp lệnh số 07/1998/PL-UBTVQH10 Về ký kết và thực hiện điều ước quốc tế,1
07/1998/QH10,https://vbpl.vn/van-ban/chi-tiet/van-ban--7754,Luật Quốc tịch Việt Nam số 07/1998/QH10,1
07/2003/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--21775,"Nghị định số 07/2003/NĐ-CP Về sửa đổi, bổ sung một số điều của Quy chế quản lý đầu tư và xây dựng ban hành kèm theo Nghị định số 52/1999/NĐ-CP ngày 08 tháng 7 năm 1999 và Nghị định số 12/2000/NĐ-CP ngày 05 tháng 5 năm 2000 của Chính phủ",3
07/2003/PL-UBTVQH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--19723,"Pháp lệnh số 07/2003/PL-UBTVQH11 Hành nghề y, dược tư nhân",6
07/2003/QH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--20992,"Luật Sửa đổi, bổ sung một số điều của Luật Thuế giá trị gia tăng số 07/2003/QH11",3
07/2007/QH12,https://vbpl.vn/van-ban/chi-tiet/van-ban--12891,Luật Đặc xá số 07/2007/QH12,2
07/2012/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--27705,"Luật Phòng, chống rửa tiền số 07/2012/QH13",9
07/2017/QH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--123514,Luật chuyển giao công nghệ số 07/2017/QH14,16
07/2022/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--153251,"Nghị định số 07/2022/NĐ-CP Sửa đổi, bổ sung một số điều của các Nghị định về xử phạt vi phạm hành chính trong lĩnh vực lâm nghiệp; bảo vệ và kiểm dịch thực vật; thú y; chăn nuôi",39
07/2022/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--157722,"Luật Sửa đổi, bổ sung một số điều của Luật Sở hữu trí tuệ số 07/2022/QH15",18
07/2023/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--160120,"Nghị định số 07/2023/NĐ-CP sửa đổi, bổ sung một số điều của Nghị định số 98/2021/NĐ-CP ngày 08 tháng 11 năm 2021 của Chính phủ về quản lý trang thiết bị y tế.",2
07/2026/QH16,https://vbpl.vn/van-ban/chi-tiet/van-ban--9a891120-5288-11f1-84cc-794f9b67b124,"Luật TÍN NGƯỠNG, TÔN GIÁO số 07/2026/QH16",5
07/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--12306,"Nghị định số 07/NĐ-CP Về việc giải thể xã và điều chỉnh địa giới hành chính xã, thành lập xã thuộc các huyện Tương Dương, Thanh Chương, Anh Sơn, Yên Thành, Hưng Nguyên tỉnh Nghệ An",1
08/1998/QH10,https://vbpl.vn/van-ban/chi-tiet/van-ban--7752,Luật Tài nguyên nước số 08/1998/QH10,2
08/2003/PL-UBTVQH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--21009,Pháp lệnh số 08/2003/PL-UBTVQH11 Trọng tài thương mại,3
08/2003/QH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--20987,"Luật Sửa đổi, bổ sung một số điều của Luật Thuế tiêu thụ đặc biệt số 08/2003/QH11",2
08/2007/QH12,https://vbpl.vn/van-ban/chi-tiet/van-ban--26995,Luật Tương trợ tư pháp số 08/2007/QH12,12
08/2012/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--27706,Luật Giáo dục đại học số 08/2012/QH13,12
08/2014/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--33450,Nghị định số 08/2014/NĐ-CP Quy định chi tiết và hướng dẫn thi hành một số điều của Luật Khoa học và công nghệ,16
08/2015/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--48921,"Nghị định số 08/2015/NĐ-CP Quy định chi tiết và biện pháp thi hành Luật Hải quan về thủ tục hải quan, kiểm tra, giám sát, kiểm soát hải quan",29
08/2017/QH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--126723,Luật Thủy lợi số 08/2017/QH14,15
08/2022/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--163515,Luật Kinh doanh bảo hiểm số 08/2022/QH15,40
08/2025/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--175207,"Nghị định số 08/2025/NĐ-CP Quy định việc quản lý, sử dụng và khai thác tài sản kết cấu hạ tầng thủy lợi",17
08/2025/UBTVQH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--179964,"Pháp lệnh số 08/2025/UBTVQH15 Sửa đổi, bổ sung một số điều của Pháp lệnh Thủ tục bắt giữ tàu biển, Pháp lệnh Thủ tục bắt giữ tàu bay, Pháp lệnh Trình tự, thủ tục Tòa án nhân dân xem xét, quyết định việc đưa người nghiện ma túy từ đủ 12 tuổi đến dưới 18 tuổi vào cơ sở cai nghiên bắt buộc, Pháp lệnh Xử phạt vi phạm hành chính đối với hành vi cản trở hoạt động tố tụng, Pháp lệnh Trình tự, thủ tục xem xét, quyết định áp dụng các biện pháp xử lý hành chính tại Tòa ăn nhân dân và Pháp lệnh Chi phí tố tụng",10
09/2003/PL-UBTVQH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--19736,Pháp lệnh số 09/2003/PL-UBTVQH11 Động viên công nghiệp,1
09/2003/QH11,https://vbpl.vn/van-ban/chi-tiet/van-ban--20984,Luật Thuế thu nhập doanh nghiệp số 09/2003/QH11,4
09/2012/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--27707,"Luật Phòng, chống tác hại của thuốc lá số 09/2012/QH13",6
