citation_id,source_url,title,issue,collision_node_count
25/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13808,Nghị quyết số 25/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Phú Yên,12b,558
19/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14027,Nghị quyết số 19/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Lâm Đồng,12b,472
42/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13411,Nghị quyết số 42/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Hà Tây,12b,464
07/2006/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--15478,Nghị quyết số 07/2006/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Bình Thuận,12b,436
57/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13067,Nghị quyết số 57/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Bình Dương,12b,427
29/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13927,Nghị quyết số 29/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Đồng Nai,12b,426
39/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13753,Nghị quyết số 39/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Ninh Thuận,12b,420
07/2008/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--12782,Nghị quyết số 07/2008/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh Kiên Giang,12b,417
30/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14045,Nghị quyết số 30/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Quảng Trị,12b,413
43/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13746,Nghị quyết số 43/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Kon Tum,12b,399
55/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13140,Nghị quyết số 55/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Bình Định,12b,398
04/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14740,Nghị quyết số 04/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Ninh Bình,12b,379
47/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13413,Nghị quyết số 47/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Đồng Tháp,12b,363
19/2006/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--15444,Nghị quyết số 19/2006/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Thừa Thiên - Huế,12b,361
29/2006/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14988,Nghị quyết số 29/2006/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Quảng Nam,12b,360
24/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13727,Nghị quyết số 24/2007/NQ-CP Về việc điều chỉnh Quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Thái Bình,12b,360
56/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13046,Nghị quyết số 56/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh Phú Thọ,12b,347
33/2006/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14948,Nghị quyết số 33/2006/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Quảng Bình,12b,347
06/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14693,Nghị quyết số 06/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Bà Rịa - Vũng Tàu,12b,342
15/2006/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--15527,Nghị quyết số 15/2006/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Vĩnh Phúc,12b,340
40/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13744,Nghị quyết số 40/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Tiền Giang,12b,333
33/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13739,Nghị quyết số 33/2007/NQ-CP Về việc điều chỉnh Quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Bắc Giang,12b,333
11/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14635,Nghị quyết số 11/2007/NQ-CP Về việc quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Hậu Giang,12b,332
15/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14232,Nghị quyết số 15/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Hải Dương,12b,331
05/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14748,Nghị quyết số 05/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) tỉnh Bình Phước,12b,328
46/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13696,Nghị quyết số 46/2007/NQ-CP Về việc điều chỉnh Quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh Khánh Hoà,12b,321
